"","V1","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK","STATE"
"1516",200437,"G49005302709011",490532709011,"41","7",49
"1517",200438,"G49005302709021",490532709021,"50","8",49
"1518",200439,"G49005302709022",490532709022,"30","4",49
"1519",200440,"G49005302709023",490532709023,"56","9",49
"1520",200441,"G49005302710001",490532710001,"55","9",49
"1521",200442,"G49005302710002",490532710002,"57","9",49
"1522",200443,"G49005302711001",490532711001,"64","10",49
"1523",200444,"G49005302711002",490532711002,"33","5",49
"1524",200445,"G49005302711003",490532711003,"43","7",49
"1525",200446,"G49005302711004",490532711004,"38","6",49
"1526",200447,"G49005302712001",490532712001,"34","5",49
"1527",200448,"G49005302712002",490532712002,"63","10",49
"1528",200449,"G49005302713001",490532713001,"52","8",49
"1529",200450,"G49005302713002",490532713002,"54","9",49
"1530",200451,"G49005302713003",490532713003,"53","9",49
